iter	Logloss
0	0.5673613678
1	0.4932022387
2	0.4658784852
3	0.4430255656
4	0.4261792136
5	0.4164797349
6	0.4108652213
7	0.403786619
8	0.3988619109
9	0.3930858812
10	0.3866692134
11	0.3818918324
12	0.3802812766
13	0.3736644972
14	0.372798234
15	0.37157009
16	0.3676975396
17	0.3648664308
18	0.3638086091
19	0.3616529736
20	0.360898756
21	0.3606009617
22	0.358331642
23	0.3558788574
24	0.3543842566
25	0.352516179
26	0.3523726575
27	0.3466536816
28	0.3465018794
29	0.3453124213
30	0.344308789
31	0.3441970388
32	0.3403771741
33	0.3363144311
34	0.3342956362
35	0.3326091939
36	0.3324334624
37	0.3322757251
38	0.3303800018
39	0.3288276576
40	0.3286194315
41	0.3257438771
42	0.3249028707
43	0.322515754
44	0.3215033442
45	0.3191760779
46	0.3183940343
47	0.3164567229
48	0.3157606904
49	0.3144476319
50	0.3096611239
51	0.309294799
52	0.3088804906
53	0.3049299178
54	0.3032760952
55	0.2998165544
56	0.2976306074
57	0.2963267728
58	0.2950618318
59	0.292457533
60	0.2915023985
61	0.2908521505
62	0.2902694522
63	0.2887969029
64	0.2866048318
65	0.2864414887
66	0.2863475609
67	0.2862237021
68	0.2817965306
69	0.2803233895
70	0.2791668488
71	0.2775635963
72	0.2768624162
73	0.2749466916
74	0.2745260325
75	0.2741741502
76	0.2721075187
77	0.2710377897
78	0.269283554
79	0.2664720709
80	0.2653195791
81	0.2640018025
82	0.2609559628
83	0.2594769118
84	0.2583184102
85	0.2580977582
86	0.2547661004
87	0.2535351145
88	0.2510392118
89	0.2497266989
90	0.2473173505
91	0.2470472912
92	0.2469145125
93	0.246104946
94	0.2458628671
95	0.2457620777
96	0.2436529683
97	0.2428888057
98	0.2420604359
99	0.241691299
