iter	Passed	Remaining
0	12	1212
1	51	2500
2	70	2271
3	88	2114
4	111	2122
5	125	1959
6	148	1966
7	174	2009
8	183	1850
9	190	1715
10	198	1604
11	206	1511
12	214	1434
13	222	1368
14	231	1309
15	238	1254
16	247	1209
17	255	1165
18	265	1129
19	273	1093
20	281	1060
21	290	1029
22	298	999
23	306	970
24	314	943
25	322	918
26	330	893
27	338	870
28	346	849
29	354	827
30	364	811
31	401	853
32	411	834
33	419	813
34	426	792
35	433	771
36	441	752
37	449	733
38	457	715
39	464	697
40	472	679
41	479	662
42	487	645
43	494	629
44	502	614
45	509	598
46	517	583
47	525	568
48	533	555
49	541	541
50	549	528
51	557	514
52	565	501
53	573	488
54	581	475
55	588	462
56	596	449
57	603	437
58	611	424
59	618	412
60	626	400
61	634	388
62	642	377
63	649	365
64	660	355
65	668	344
66	675	332
67	683	321
68	690	310
69	697	299
70	705	288
71	712	277
72	720	266
73	727	255
74	735	245
75	742	234
76	750	224
77	757	213
78	765	203
79	772	193
80	780	183
81	788	173
82	795	162
83	803	153
84	811	143
85	818	133
86	826	123
87	834	113
88	842	104
89	851	94
90	859	84
91	866	75
92	874	65
93	882	56
94	890	46
95	898	37
96	909	28
97	916	18
98	924	9
99	932	0
