iter	Passed	Remaining
0	9	961
1	16	793
2	26	846
3	34	836
4	47	897
5	51	811
6	56	746
7	64	740
8	74	754
9	83	750
10	88	716
11	96	707
12	104	699
13	113	694
14	120	684
15	130	684
16	139	681
17	146	666
18	155	661
19	165	662
20	179	674
21	189	671
22	198	664
23	204	648
24	216	650
25	227	646
26	239	648
27	263	677
28	277	679
29	292	682
30	306	682
31	312	664
32	329	668
33	336	654
34	351	652
35	360	640
36	365	623
37	377	615
38	387	606
39	397	596
40	408	587
41	418	577
42	431	571
43	438	557
44	448	548
45	455	534
46	465	524
47	474	514
48	485	505
49	545	545
50	559	537
51	592	546
52	616	546
53	649	552
54	677	554
55	687	540
56	696	525
57	705	511
58	713	496
59	723	482
60	739	472
61	762	467
62	770	452
63	779	438
64	788	424
65	799	411
66	810	399
67	822	387
68	836	375
69	845	362
70	854	348
71	864	336
72	872	322
73	880	309
74	897	299
75	908	286
76	920	275
77	931	262
78	940	250
79	948	237
80	957	224
81	967	212
82	977	200
83	986	187
84	996	175
85	1006	163
86	1012	151
87	1020	139
88	1030	127
89	1034	114
90	1043	103
91	1048	91
92	1057	79
93	1062	67
94	1071	56
95	1078	44
96	1088	33
97	1097	22
98	1106	11
99	1116	0
